PA,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
6457,1456,6395,1460,1965,388,116,70,1047,405,I
5235,1304,4612,671,1187,238,39,119,458,103,C
10211,2433,9454,1416,3000,440,166,240,1305,83,I
6520,1640,5298,735,1333,288,16,276,938,7,C
12718,3026,10972,1949,3630,725,177,475,1951,78,I
6777,1749,6009,731,1700,313,54,114,712,225,C
6681,1656,6086,833,1768,291,86,135,929,71,I
4032,1326,3734,391,930,141,26,52,376,46,C
2968,760,2913,380,687,129,34,21,295,12,C
5516,1495,4686,623,1207,182,31,25,386,96,C
2954,891,2626,268,682,139,23,43,293,10,C
7655,2093,6386,710,1563,245,33,67,571,39,C
3977,1147,3647,363,777,119,33,21,378,98,C
4780,1197,4205,652,1146,193,32,166,674,128,C
8501,2195,7177,935,1855,271,84,70,558,209,C
7907,2082,7118,954,2026,351,43,201,806,102,C
6158,1483,5615,810,1533,238,23,39,396,67,C
4289,1049,3748,664,1263,164,100,49,534,228,C
8188,2201,8037,1063,2391,379,97,82,903,377,C
4743,1492,3781,472,1036,188,60,47,508,35,C
5804,1382,4877,947,1518,273,54,137,734,197,I
2941,591,2873,665,866,124,60,11,326,47,C
10610,2517,9570,1391,2961,458,309,97,1519,366,I
850,180,813,183,224,21,8,4,113,11,C
7574,1821,6513,936,2015,380,145,64,1147,194,C
4886,1216,4563,714,1321,284,26,92,529,20,C
10075,2322,8073,1481,2429,490,11,519,1696,32,I
5282,1278,4366,790,1263,273,41,80,398,281,C
4669,1147,4192,629,1205,139,75,17,324,182,C
6476,1645,5974,656,1608,290,31,149,824,64,C
6171,1553,5390,653,1352,237,22,210,773,10,C
6892,1820,5969,899,1849,368,93,114,955,124,C
4703,1217,4465,619,1190,224,6,217,796,18,C
10255,2309,8785,1429,2466,389,160,75,817,375,I
5555,1348,4912,908,1504,271,67,250,1087,52,I
3626,1012,3202,337,709,86,50,11,342,58,C
6325,1480,5791,699,1617,229,38,22,403,67,C
9461,2202,7822,1217,2161,311,62,54,675,266,C
10099,2311,9112,1532,2880,466,138,105,1244,419,I
6723,1603,5675,852,1563,280,48,268,1115,37,C
7552,1737,7018,1133,1997,310,88,27,797,374,C
5430,1371,5356,662,1453,224,55,22,760,215,C
7065,1789,6300,930,1969,343,72,202,1209,37,I
5475,1397,5264,628,1354,161,38,224,729,49,C
3370,1016,2999,401,732,121,19,27,260,30,C
4730,1213,4263,565,1196,183,33,93,524,91,C
11746,2794,10439,1739,3420,643,252,101,1733,723,I
6589,1569,5324,869,1632,274,58,20,891,479,C
5772,1315,5363,1129,1625,250,178,71,883,354,I
7914,2089,6705,1046,1820,241,41,377,1103,43,C
12167,2683,10835,1782,3319,605,114,234,1307,504,I
5055,1288,4683,664,1342,286,28,112,555,64,C
7076,1884,5210,600,1478,294,38,24,629,27,I
6098,1394,5193,1051,1628,379,71,331,1276,58,I
10460,2583,9577,1473,2600,453,125,314,1169,327,C
203,132,177,17,33,5,2,0,7,0,C
4218,1140,3829,448,984,193,3,43,372,6,C
6500,1601,5813,771,1619,394,7,223,952,30,C
10351,2367,9232,1279,2663,355,112,35,790,76,I
4022,1171,3604,329,933,175,35,30,409,18,C
8052,2028,6897,825,1871,261,37,314,1094,24,C
2875,847,2714,249,665,107,37,16,300,36,C
4910,1223,4092,518,987,135,38,10,418,159,C
7039,1672,5934,986,1674,339,24,299,1016,48,C
8143,1984,7093,1126,2314,515,98,192,1302,40,I
5398,1336,4676,697,1291,187,51,112,576,45,C
3251,961,2512,436,683,127,37,46,241,20,C
5486,1436,4495,654,1006,201,13,260,765,43,C
8553,2088,7268,1115,2146,433,61,156,1060,91,C
5880,1447,5499,666,1542,290,48,42,584,38,C
6417,1483,5210,895,1637,251,154,46,698,314,I
5970,1371,5537,861,1462,179,91,31,357,762,C
5729,1583,4768,523,1187,165,23,142,548,19,C
8051,1987,6978,1108,1994,362,54,312,1089,136,C
9177,2228,8640,1084,2529,522,36,287,1365,80,C
8049,2097,7264,1135,2131,360,74,147,858,193,C
6174,1424,5049,786,1452,229,47,8,372,151,C
8253,2012,7349,1121,2148,433,108,91,678,174,C
2654,653,2487,308,585,64,11,9,259,26,I
12504,2850,10876,1844,3060,668,55,291,1175,414,I
7841,1737,7044,1554,2293,325,119,106,1302,574,I
4604,1170,3790,725,1085,166,72,189,760,45,C
9058,2089,8225,1249,2452,373,79,382,1451,58,I
9290,2245,8065,1179,2445,511,45,173,1146,70,C
6786,1681,6434,844,1797,383,25,248,953,37,C
3985,1215,3422,451,848,134,16,128,492,30,C
6694,1666,5351,738,1528,250,24,70,638,22,C
8518,2038,7769,1254,2188,552,42,324,1328,123,C
5451,1456,4915,673,1434,298,18,138,675,18,C
10768,2476,9587,1573,2711,430,163,70,821,748,I
9741,2277,8435,1225,2456,389,125,40,1273,275,C
5848,1454,5235,760,1554,326,5,219,919,54,C
9110,2161,7201,1234,1931,332,48,154,773,171,C
5606,1374,5061,605,1257,176,82,22,452,262,C
6352,1853,5855,601,1792,277,27,190,990,8,I
8747,2166,7917,908,2299,394,108,79,1078,57,C
10270,2543,10027,1403,2970,591,56,320,1382,128,I
7701,2030,6754,990,1977,347,99,95,920,65,C
9041,2180,8095,1213,2135,355,38,408,1293,170,C
6459,1627,5687,731,1611,273,47,115,618,43,C
5066,1236,4442,656,1253,249,12,175,760,13,C
7595,1866,7000,997,1878,338,35,378,1218,53,C
6043,1630,5383,653,1393,272,56,20,696,65,C
8840,2124,7579,1233,2285,515,118,170,1424,87,I
8021,2181,7318,796,1926,293,57,46,627,167,C
8237,2143,7161,1259,2116,358,85,407,1333,99,I
7073,1988,6537,669,1694,296,27,107,714,80,C
7834,2048,7073,913,1951,334,26,253,1071,60,C
7712,1835,6077,1030,1802,306,69,176,951,174,C
3998,991,3733,543,1147,196,53,72,509,32,C
10062,2404,8352,1506,2234,408,59,548,1595,174,I
4015,1269,3584,357,816,118,16,102,410,14,C
5563,1320,4992,698,1507,292,47,88,581,40,C
5026,1392,4526,446,1109,161,24,39,418,17,C
3395,1035,3150,237,751,86,21,4,240,39,C
8760,1945,7528,1338,1899,191,79,9,461,410,C
5566,1590,4795,448,1259,248,34,13,537,30,C
7412,1806,6540,915,1779,289,123,96,797,238,C
6206,1909,5482,590,1486,244,58,93,645,57,C
2297,709,1970,194,506,67,14,6,235,37,C
7315,1740,6292,985,1838,336,115,180,1189,149,I
2893,764,2499,366,731,97,31,99,443,28,I
6276,1814,6437,806,1730,314,69,159,706,249,C
7352,1895,6742,891,1836,253,35,390,1143,9,C
8257,2113,7196,1068,2022,424,60,293,1174,44,C
5166,1269,4623,657,1400,275,38,130,726,80,C
8306,1942,7343,1033,2047,173,63,16,427,576,C
9109,2247,8594,998,2237,267,103,15,536,323,C
1561,540,1359,164,322,67,10,23,153,16,C
7340,1812,6626,1077,1750,248,52,169,659,575,C
1768,865,1463,169,364,61,1,42,225,3,C
3206,954,2937,339,775,107,23,9,222,90,C
7943,1903,7170,976,2046,352,69,286,1278,45,C
10100,2391,8757,1534,2368,364,74,516,1472,70,I
4648,1261,4085,451,1114,176,62,19,496,125,C
4664,1282,4180,566,1108,169,34,84,489,192,C
10531,2591,9104,1413,2569,587,68,353,1440,124,C
7691,1676,6652,1518,2279,454,205,105,1291,256,I
1364,486,1237,122,326,50,14,2,96,12,C
8847,1998,7499,1547,2369,420,208,132,1258,229,I
3223,895,2627,222,681,106,25,5,273,34,C
4577,1380,4292,445,1196,169,26,32,374,31,C
4079,1058,3712,470,974,174,32,66,351,42,C
4001,956,3209,445,828,139,38,24,335,95,C
7025,1646,6029,861,1779,385,66,68,789,51,I
4202,1071,3695,514,1090,152,51,56,409,165,C
4443,1246,3955,529,1197,241,22,77,511,45,C
6591,1666,5901,832,1649,225,48,115,558,41,C
13346,3081,10990,2305,3094,522,63,304,1129,1375,I
4386,1188,3754,475,930,211,4,173,577,8,C
8269,2034,7555,965,2009,313,59,277,1071,67,C
9788,2292,7706,1798,2654,525,71,521,1839,24,I
10232,2440,9288,1383,3141,543,85,135,1138,319,I
5242,1272,4770,546,1224,150,23,27,301,152,C
8283,1976,7258,1206,2194,440,47,281,1191,70,C
8344,2073,7162,977,1868,328,21,316,1139,24,C
5421,1491,4979,474,1313,244,12,113,628,6,C
7524,1629,6882,1493,1844,246,85,28,568,754,C
2849,919,2322,302,503,59,8,96,315,10,C
5091,1265,4621,664,1232,277,17,167,651,36,C
5029,1460,4409,382,1174,196,15,53,536,7,C
416,128,365,55,96,18,4,0,31,5,C
8649,2158,7759,1011,2054,395,21,267,1154,53,C
8702,2085,7745,1033,2214,394,34,76,747,192,C
9154,2189,8600,1191,2223,440,54,400,1450,233,C
11092,2830,10901,1465,3184,534,52,444,1808,35,C
4152,1162,3466,336,918,160,22,37,443,27,C
6025,1407,5475,826,1693,368,95,156,1068,142,C
5998,1459,5351,612,1518,289,68,38,793,113,C
7899,1788,6747,1180,1920,206,75,21,631,359,C
9027,2360,7927,1194,2232,423,55,475,1540,17,I
7384,1854,6703,869,1839,337,27,302,1051,32,C
6521,1583,5542,678,1441,218,71,85,474,41,C
9833,2435,8147,1283,2086,290,24,573,1584,19,I
10569,2606,8996,1470,2446,483,73,385,1384,78,C
5669,1391,4353,581,1255,246,52,77,714,38,C
7389,1755,7021,1064,1973,380,173,78,1010,300,C
8313,2175,7238,882,2034,380,39,179,936,40,C
5644,1405,5095,703,1549,330,12,128,734,18,C
6960,1779,6346,906,1718,268,74,265,1031,39,C
8219,2071,7609,959,2031,340,31,354,1244,39,C
4391,1422,3932,489,1151,220,37,53,478,103,C
6945,1693,5500,743,1537,321,82,29,769,114,C
9376,2293,8288,1231,2365,412,55,185,1003,236,I
7150,1829,6092,900,1664,379,10,275,1065,20,C
2030,425,2102,458,680,125,53,21,339,50,C
4844,1421,4481,361,1133,166,24,40,416,16,C
6848,1489,5867,1419,1682,338,160,117,845,488,C
6153,1566,5173,944,1437,273,48,242,795,87,C
8115,2033,7127,973,2060,409,26,204,1106,60,C
7102,1971,6202,704,1550,262,34,77,598,100,C
5559,1263,4736,722,1297,224,64,9,506,167,C
4296,1458,3850,490,1052,145,37,36,314,118,C
8916,2257,8183,1211,2345,448,31,402,1424,129,C
7766,1821,6573,1088,1829,216,79,71,949,288,C
6316,1580,5388,661,1328,174,76,13,390,244,C
11625,2707,10349,1583,3154,665,137,317,1596,201,I
2869,818,2634,198,618,102,24,18,262,55,C
2846,767,2415,467,726,133,51,50,340,33,C
7722,1817,6622,1173,2103,356,128,96,926,118,I
